cpr,municipality,salary
1204885528,Silkeborg,377910
2904738499,Kalundborg,549066
0512997373,Kalundborg,274213
2802962215,Haderslev,313955
2208870747,Odense,350639
0601712433,Aarhus,570378
0212849688,København,419679
2308756920,Aalborg,486574
2408900792,Silkeborg,363004
1912851754,Roskilde,349642
2008785731,Viborg,479461
0702913757,Odense,418167
1805909234,Næstved,418961
1712572117,Vejen,687611
1912757729,Odense,502836
3012776200,Lolland,449200
2802806849,Bornholm,499122
0310907427,Helsingør,366451
0511797694,Tårnby,429273
3008710744,Odsherred,474883
3108850805,Aarhus,444591
2410710681,Hedensted,547129
2003783413,Næstved,472195
0410826576,Ishøj,414754
2012817764,Svendborg,421218
2802793673,Herning,519848
0306854827,Vesthimmerlands,488887
2604731504,København,532343
1010870767,Lyngby-Taarbæk,381004
2402726685,Morsø,527337
1305799087,Rudersdal,479823
1710825179,Tønder,415507
0204807360,Faaborg-Midtfyn,467522
2102915953,Lyngby-Taarbæk,318279
3108577618,Thisted,709838
0107732481,Ringkøbing-Skjern,511351
2112963746,Vejle,323928
2211814964,Høje-Taastrup,447238
2702548213,Frederiksberg,708761
2005833440,Frederiksberg,383685
0302570799,Gladsaxe,728483
1301755559,Skive,526558
0406884994,Mariagerfjord,357750
2008764947,Hørsholm,483145
0606708222,Frederikssund,592825
1802864468,Gladsaxe,351479
3112881774,Haderslev,431391
0202802745,København,446531
2205936798,Holbæk,278776
1608966910,Randers,246850
1708753309,Solrød,527739
3011625391,Silkeborg,634678
3112882041,Aalborg,415587
2103730028,Stevns,471681
1502692823,Odense,586223
0606611278,Hvidovre,633011
1510623854,Køge,631618
1411938184,Assens,246357
0201657286,Helsingør,591120
1312807894,Odder,465826
1512524069,Lemvig,782018
0210996194,Varde,192140
0412629468,Sønderborg,623282
1008890991,København,430472
0409679916,Frederiksberg,539814
0406760649,Gentofte,494966
0410946102,Aarhus,281779
1204893381,Næstved,330756
1411824429,Gentofte,426176
0509858490,Ringsted,378644
1701897296,Ishøj,284777
1211946424,Aabenraa,292243
1606805388,København,471767
1709877915,Odsherred,350663
0111925442,Thisted,361079
3110790417,København,457278
0602860339,Herning,389508
3003851306,Stevns,378128
0711842445,Jammerbugt,441036
2012631652,Køge,595905
0703592694,Ishøj,639411
2804783017,Høje-Taastrup,474281
0506850691,Aarhus,460554
0309736586,Herning,480782
1103664809,Hillerød,558723
1107975737,Kolding,243895
0901947513,Gentofte,322696
2205758120,Mariagerfjord,507885
2605844060,Thisted,384124
0407980841,Varde,320418
2011877154,Haderslev,383932
0403832790,Esbjerg,414693
3007903457,Skive,427134
2712836558,Dragør,367149
2104719751,Ballerup,520318
2502847886,Aalborg,387772
1605808941,Vejle,447401
1811930586,Odense,324144
0909971854,Hillerød,318982
1902813120,Rebild,357974
2810980176,Struer,221749
2604628074,Sorø,563608
2211945588,Roskilde,349722
0107826283,Lyngby-Taarbæk,448455
1204607456,Gentofte,620523
0303819424,Holbæk,521061
0712513105,Holbæk,693757
1603592875,Aalborg,731810
0704617183,Svendborg,652445
0108901261,Rudersdal,310541
2410613383,Slagelse,641985
1703935957,Egedal,317697
0101737204,Aarhus,546519
0612906860,København,362151
1005641196,Frederiksberg,593276
2611847474,Aarhus,401643
2808878292,Solrød,350792
1506845516,Aarhus,387896
2812775147,Ringsted,480701
2001579886,Kerteminde,699578
2904685236,Svendborg,615698
2401661096,Ballerup,554517
2806879005,Aabenraa,387228
2804741739,Herlev,543792
1611815811,Sønderborg,446954
2206636659,Faaborg-Midtfyn,653327
3009999144,Roskilde,237423
1010875277,Fredensborg,418312
2211925404,Lolland,265686
1503679418,Odense,621062
2312733488,Lyngby-Taarbæk,531012
2410747378,Aalborg,461133
0311883018,Faxe,372864
2911664485,Struer,651785
0211678285,Furesø,590692
1505824429,Gentofte,398683
0103668315,Slagelse,614263
1006796055,Aarhus,413354
0509907762,Svendborg,352723
0706813878,København,381199
2708738028,Sorø,509729
1811741005,Ringkøbing-Skjern,498529
1509782753,København,497340
1908962293,Aarhus,288135
1912979478,Rebild,304922
0607745306,Favrskov,474895
0701616886,København,635007
0109828626,Rødovre,434562
0506793923,Faaborg-Midtfyn,535937
0912691643,Aarhus,524454
1004812843,Roskilde,444629
1506944749,Silkeborg,371918
1807711911,Odsherred,578799
1905644853,Kerteminde,619718
1702809087,Kerteminde,447574
1610862296,Sønderborg,451388
0603831840,Odsherred,431362
0104780583,Ringsted,535535
1601832592,Assens,413992
0906922618,København,347576
2612719112,Aarhus,490783
0204882715,Odense,356004
2011667491,Vejle,603612
1210609707,Herning,669311
0607559137,København,691916
1307956049,Hedensted,314177
1211964952,Hvidovre,258122
2109586669,Herlev,692599
2401670981,Holstebro,578438
0709572841,Kalundborg,688387
1808791184,Horsens,345634
2001894256,Odense,338737
0409808656,København,468867
1107833448,København,356004
1806875913,Frederikshavn,364557
1612775176,Egedal,390789
2105994211,København,279314
1609778693,Norddjurs,528870
1005681193,Frederiksberg,545977
1610879561,Vejen,333996
1306794689,Odense,541909
2807812957,Odsherred,478829
3107899952,Albertslund,287256
0603961091,Solrød,264814
2509863383,Holbæk,460386
0203920517,Albertslund,405855
2101955594,Haderslev,289155
1707793516,Helsingør,375153
0301714087,Odsherred,552457
0403818443,Holstebro,556531
3004845061,Mariagerfjord,424267
2111608433,Ringkøbing-Skjern,584148
0903685401,Holstebro,568051
1404991569,Horsens,297583
1604723874,Allerød,492138
0904669532,Aarhus,578305
2807975285,Holstebro,317829
1301756760,Aalborg,502517
0307826005,Vejen,462320
1303657913,Næstved,643571
1311685124,Aalborg,559826
3009699791,Kolding,557704
2204942986,Esbjerg,280609
0904856652,Gentofte,352113
1112885842,København,370339
2007910419,Tårnby,282045
1311757961,Viborg,557089
2907598493,Haderslev,720186
1209962675,Ringsted,326537
0901926292,Rødovre,309743
0807941522,Samsø,256713
0209934683,Lolland,343998
1209823183,Tårnby,397963
3004854331,Silkeborg,381918
0103892765,Køge,393453
0611711394,Skanderborg,517942
0211893356,Næstved,333011
2604810782,Mariagerfjord,435974
3009991552,Svendborg,243375
0405685057,København,519682
2105862888,Odense,356392
0411614328,Gribskov,607001
1209638578,Mariagerfjord,565712
1610798802,Faxe,434682
0207729061,Vejle,510764
0909757326,København,461978
2904837993,Nordfyns,361934
2103901836,Sønderborg,391896
3008991709,Aarhus,273291
2908644430,Aabenraa,600937
0911736902,Odense,543266
0509809527,Odense,457455
0110742031,Gribskov,513004
2801943127,Sønderborg,294448
3012724888,Halsnæs,512795
1103607891,Roskilde,696993
0309918578,Helsingør,275294
2702812797,Guldborgsund,452760
2608545629,Ishøj,731304
0507573439,Odense,738041
0410843452,Helsingør,366888
0711886199,Jammerbugt,426997
2302797413,Vordingborg,472326
1209671779,København,601220
0204973780,Jammerbugt,278843
2110682123,Faaborg-Midtfyn,612460
2302583158,Faxe,697989
1106546183,Frederikshavn,716371
2309872858,Køge,358360
1204725084,Aarhus,572063
2302614585,Frederikshavn,627480
1907660915,Odense,636253
0107783044,Bornholm,434673
0611659376,Brøndby,622309
0307941299,Aalborg,296484
1408944215,Vordingborg,337810
2506538933,Vallensbæk,721240
2612775722,Glostrup,420269
1409611253,Aarhus,682880
2403635649,Skive,665640
0301857106,Egedal,409844
1608976825,Roskilde,311920
2602977395,Middelfart,296594
0108737834,Holbæk,467427
2009950824,Esbjerg,334318
1811707159,Struer,612484
0102654025,Frederikshavn,570107
1604821118,Vejle,380566
0508674634,Haderslev,541713
0203797748,København,446741
1712739482,Brøndby,448751
1104802616,København,417328
2801798117,Viborg,445427
0106983269,Ikast-Brande,314748
2108859544,Ringsted,358713
2610779555,Herning,528642
2002627897,Assens,610984
2503550673,Gladsaxe,721453
0510543808,København,685875
0104879220,Hedensted,419224
0905979614,Brønderslev,293443
1408967625,København,305766
2701645765,Syddjurs,602028
0902752743,Hvidovre,507616
2208798685,Vejle,438288
2805958849,København,341744
1603903882,Rødovre,313798
0712953926,Egedal,309421
1203746711,Gribskov,512949
2109856692,Thisted,368160
2903885556,Frederiksberg,459258
2808552626,København,647512
2412961387,Aarhus,305651
1505779445,Lemvig,506001
1401932559,Odsherred,355465
1812723847,Fredensborg,562698
1111756645,Frederikshavn,515177
0209532021,Favrskov,707610
1501731231,Lyngby-Taarbæk,523826
0102915041,Ishøj,390544
2011974274,Svendborg,310481
0605767701,Odense,526298
1401976140,Ringkøbing-Skjern,281730
0904557033,Brønderslev,747385
0312717871,Haderslev,552631
0911654693,Viborg,602176
1002782237,Allerød,508441
1509830242,Albertslund,389998
2401733170,Stevns,544277
1912706664,Horsens,493989
2712769732,Skanderborg,498466
0403766510,Aalborg,493466
2801704965,Furesø,518915
1111791760,Horsens,407170
2406956767,Middelfart,300719
0911812550,Kolding,405924
1602638336,Silkeborg,535217
2305768358,Slagelse,439582
1907819923,Skanderborg,417396
2612931254,Aarhus,279256
2606970822,Aalborg,312495
2503743633,Morsø,457217
0404604691,København,666479
1806780876,København,427753
0803846285,Aarhus,377311
0506565815,Viborg,656085
0108802860,Lemvig,420532
0306716327,Vesthimmerlands,531932
0506529176,Sorø,698186
3004571755,Morsø,690550
2802998444,Langeland,213676
0101898075,Fredensborg,367684
1706818148,Helsingør,421474
1604773676,Syddjurs,419644
2511586103,Varde,730206
0206635878,Faxe,568750
2806981730,Horsens,234015
3008668606,Viborg,565283
1504727842,Frederikshavn,550179
2702874385,Middelfart,391343
1111625698,Randers,631688
1012836022,Horsens,358488
0310982149,Hvidovre,301533
1511906142,Helsingør,344182
2001738321,Aarhus,517078
2405791359,Billund,533345
0801876058,Aarhus,352933
2802869336,København,338937
2211960787,Hillerød,307599
2512981349,Aarhus,351989
2907859326,Fredericia,423476
0308863261,Skanderborg,420565
2004984994,København,243668
1102938309,Gentofte,306763
2301932125,Albertslund,303961
3004684315,Lyngby-Taarbæk,536509
1309920522,Aalborg,291568
0403878742,Helsingør,378239
2402700676,Sønderborg,542651
0305971619,Hvidovre,246023
2712903832,Hvidovre,353247
1712817699,Vordingborg,419456
0212853498,København,428784
3009624457,Odense,624062
0503788954,Holbæk,476362
2704863075,Aarhus,369538
1007971620,København,254811
2502952122,Kolding,301838
2802880125,Vordingborg,415843
2312698949,Fredericia,534239
0602876077,Aalborg,411066
1612682031,Ishøj,626071
2401811219,København,463506
1604829093,Middelfart,437158
1107974687,København,321534
1208957904,Albertslund,345182
0812757929,Vordingborg,435896
0909995113,Holbæk,315437
2110997785,Holstebro,247124
1001925275,Aalborg,359920
2102821397,Tønder,446745
1512689247,Aalborg,598525
0508834377,Mariagerfjord,422427
0106781474,København,413275
2201992788,Gladsaxe,236075
0910982366,København,226343
1411800333,Faaborg-Midtfyn,501507
2805793594,Ballerup,465618
0208867119,Viborg,417167
1802656731,Aarhus,649651
2707658981,Odense,617896
1611822379,Fredericia,398288
0702806517,Ringkøbing-Skjern,462043
2708662436,Vordingborg,589636
1911812954,Vejle,460918
1103615626,Lolland,641727
1711824327,Køge,460933
2103997231,Odense,294343
1412966959,Kolding,279582
3101551372,Vejle,685466
2708927591,Aarhus,371276
3010738957,København,552986
1807702778,Horsens,540586
2506706478,Silkeborg,491133
0610740076,Gentofte,522880
2107820889,Frederiksberg,447668
2910881932,Ringsted,286575
1102901123,Næstved,356365
3011979056,Frederikshavn,270632
1210668171,Svendborg,626182
2204891079,Gladsaxe,377708
3006936962,Esbjerg,307314
2105813928,Aalborg,458871
1507755285,Kolding,560132
2804954570,Fredericia,235222
1105823040,Haderslev,457788
1702952081,Ringkøbing-Skjern,281486
0106692676,Gribskov,550550
1201879763,Lyngby-Taarbæk,413972
0601674866,København,505354
0508542848,Jammerbugt,680464
1308831552,Herning,451638
2202997897,København,285605
2702906497,Horsens,397829
1708741328,Hillerød,460849
1701834656,Odense,417816
3006530082,Varde,760482
1408831773,Gribskov,436712
2907934047,Lyngby-Taarbæk,326035
0310546582,Skanderborg,696177
0711566114,Frederikshavn,658367
1107737156,Gribskov,540587
2407825514,Randers,448810
1608900874,Hjørring,336499
0611919614,Frederikssund,351345
2410651368,Greve,538999
1812615535,Hvidovre,647471
1601803755,Assens,515565
1808889148,Aarhus,371676
1805607809,Slagelse,690585
2901825905,Egedal,467484
1904789876,Aarhus,448323
1808531556,Randers,723059
0206846816,Ballerup,435173
0309805725,Favrskov,438454
2904704701,Hjørring,557790
0201791110,København,440288
1906798377,Esbjerg,479133
2004835873,Hjørring,387280
1905876311,Faaborg-Midtfyn,383738
0204813737,Rødovre,490196
2903628707,Frederiksberg,668298
2405622460,Ringkøbing-Skjern,612673
2201917254,Struer,323057
1210983822,Vesthimmerlands,252919
1503603585,Ærø,661250
1107903415,Høje-Taastrup,418678
1111784948,Frederiksberg,492568
1903698653,Aarhus,511052
1902978015,Faaborg-Midtfyn,307575
0206992448,Greve,258868
1206618021,Ringkøbing-Skjern,633865
0309919801,Høje-Taastrup,304951
2712768955,Syddjurs,485537
0907963514,København,291572
1805819839,Randers,462208
2005853396,Haderslev,333875
2504857528,Brønderslev,350560
1712777368,Skanderborg,457439
1908610558,Vordingborg,624274
2610713732,Aarhus,571055
1204705779,Favrskov,560537
2812533388,Brønderslev,678150
0301550741,Sønderborg,679728
0604887033,København,342836
0611642330,Sorø,568404
2008667731,København,641874
2410863973,Frederiksberg,381851
2205730871,Vesthimmerlands,564368
1711632892,Jammerbugt,610738
0403823613,Høje-Taastrup,403043
2712796941,Høje-Taastrup,480700
2505797333,Haderslev,475971
0302611893,Kolding,654645
0801916839,Frederikssund,394633
1308845534,Lolland,443280
2806831036,Esbjerg,429232
0202595829,Vejle,651769
2606894488,Brønderslev,352972
0103830987,Stevns,412304
1809897073,Hillerød,328750
0209701776,Viborg,568850
0308721459,Næstved,528582
2311884579,Ballerup,405590
0801883470,Gentofte,381797
0206847933,Furesø,362469
2809575547,Gentofte,687074
0204594231,Næstved,691271
1310734203,Sønderborg,572385
1402915530,Vejle,310621
1506570371,Ishøj,689509
0701580071,Odsherred,711935
2107897211,Vejen,370663
1312950528,Aarhus,324308
2301803373,Kolding,480027
0509601962,Hvidovre,638762
1604635275,Lyngby-Taarbæk,623445
2701799289,Helsingør,466987
0903822085,Hillerød,435922
1808651672,Lejre,634169
1910675055,Hedensted,556151
2007635378,Norddjurs,556552
2906734543,Brøndby,514191
1207629139,Billund,614545
2707936375,Roskilde,334206
2506947155,København,367193
0708955050,København,253496
2305874899,Ringsted,381418
0308861745,Ikast-Brande,344969
1207643773,Aalborg,584328
1903796782,København,456371
1110971564,Odense,238177
1104830252,København,433101
2301750101,København,430102
2510849526,Holbæk,403116
2911766759,København,477932
1209844043,København,424184
0203988010,Hjørring,286575
2712783751,Tårnby,464196
1005698574,Aalborg,538736
0110965096,Brønderslev,315527
2605725188,Bornholm,540488
2112794504,Ringsted,438332
0705766655,Rudersdal,499671
1209952606,Køge,309983
2709754812,Albertslund,435630
0509881116,Aabenraa,380628
0601934671,Aarhus,290214
1802712916,Frederiksberg,548007
2403500566,Gladsaxe,762888
1904962478,Horsens,313681
0308650797,Herlev,612815
2702831133,Syddjurs,437510
1312851686,Solrød,354937
1505748683,København,506170
3107856835,Aarhus,426109
2402689844,Hørsholm,562703
1708838199,Vejle,413627
2706551111,Struer,660788
2307514821,Allerød,714479
0509906811,Aarhus,371307
3009702758,Morsø,544460
2912823296,Gentofte,434162
1107825411,Skanderborg,465038
0201766543,Roskilde,502243
0809832562,Svendborg,407500
2708735163,Kolding,544873
2604820681,Syddjurs,428425
1803939712,Lolland,323149
1407621116,København,603022
2809896302,Aarhus,344866
1402731556,Esbjerg,498913
3103534820,Odense,679339
3101838029,Slagelse,402844
0703928413,Gentofte,314394
0402757539,Rebild,526937
2909725797,Silkeborg,521808
1711963291,Lyngby-Taarbæk,289766
0609785428,Herlev,434488
0308696780,Vejle,540232
1510675029,Skive,539334
0507709950,Skanderborg,568894
1212726217,Furesø,473945
2707814133,København,480476
3004873036,Sønderborg,430260
0605738602,Guldborgsund,552976
2107941437,Aabenraa,337881
0710894624,Aarhus,351140
1510859735,Egedal,396964
0203696760,Fredensborg,583728
2111987738,Aalborg,232983
1212920155,Svendborg,421928
0304928167,Faaborg-Midtfyn,355066
2408658078,Silkeborg,607821
2506724546,Glostrup,440550
0803967672,Aalborg,257235
2308909835,Herning,353258
0711668022,Hørsholm,607554
1501742315,Roskilde,522454
1812673569,Fredensborg,601908
2812879671,Odder,361713
1204937897,Frederiksberg,334381
2501766581,København,464044
1706824565,Silkeborg,433087
0711938815,Thisted,325061
1808880355,Hvidovre,336441
2901829058,Hjørring,460746
1012749388,Varde,521912
2203914111,Aalborg,392497
1507706156,Rudersdal,495871
3004622767,Skive,632628
2203969509,Esbjerg,249162
2909864718,København,371779
0905954757,Odense,292196
2401973245,Randers,333749
1108916940,København,327295
0705692974,Ringsted,449172
2407874032,Kalundborg,327853
1106525434,Kolding,764282
1605836264,Hørsholm,397353
2305786913,Ringkøbing-Skjern,498019
1911666163,Greve,586780
2411734496,Vallensbæk,502227
2910861034,Sønderborg,361561
1804934049,Brøndby,375479
2602849804,København,393873
1212636047,Esbjerg,640661
0908781908,Frederiksberg,451493
1209928083,Glostrup,309708
2211823285,Viborg,396116
0407951525,Esbjerg,335162
2611937575,Brønderslev,269032
1811991941,Odense,258505
2606694692,København,537786
2602518690,Glostrup,688201
1712838174,Frederikshavn,433100
0504527797,Ringsted,718702
1610734619,Rudersdal,477325
2010699423,Vejle,547365
2805912329,Køge,345474
2109771581,Aarhus,452214
2306880094,Skanderborg,385797
3001648067,Vesthimmerlands,597924
0304578057,Faaborg-Midtfyn,653378
1703593889,København,691099
3011831693,Frederikshavn,444245
0601757089,Aalborg,514366
0111850075,Næstved,395314
2601815491,Frederikssund,420007
0811900295,Næstved,347954
3006810369,Frederiksberg,395497
0408819345,Frederiksberg,420401
0908624955,Frederiksberg,627356
1709684038,Herning,488501
1503766440,Vordingborg,446413
0903873318,Haderslev,340719
1809886797,Holbæk,352418
0701662138,Aarhus,602059
0109970724,Odder,232815
1708704157,Hjørring,593239
0607724229,Aarhus,559251
1702904963,Thisted,286418
2509554775,Slagelse,754433
1503934137,København,358897
2209651044,Albertslund,553778
0304820266,Herning,420393
2107856990,Herning,322718
0612603579,Aarhus,633471
1702909167,Esbjerg,395287
1308966309,Gladsaxe,300840
1912911448,Silkeborg,335658
2411902342,Aarhus,347145
2811801902,Odense,422937
2611814361,Aarhus,431203
0104901963,Kolding,363761
0407669681,Vejle,574134
2201621315,Slagelse,647022
2807689943,Favrskov,594961
0111995573,Silkeborg,333023
1702820912,Tårnby,386536
2101687491,Tårnby,569886
1302701083,København,520916
2709645485,Albertslund,604392
2708827268,Sønderborg,448592
1810891626,Aabenraa,330013
0706683326,Greve,553689
2605558845,København,737514
1012962197,Sønderborg,292024
3007742068,Gribskov,506014
2211890420,Aalborg,334135
1409967047,Skive,290775
2504786650,Roskilde,424387
1811861160,Slagelse,365022
1301637911,Ringsted,671306
0101626765,Viborg,643051
3008609533,Odsherred,614276
0206687934,København,599143
1006882132,Struer,343504
2704531289,Norddjurs,724137
0707926015,Ikast-Brande,317281
2305871445,Horsens,334080
0807861782,Stevns,379954
1905754382,Esbjerg,502440
0807754559,Struer,494744
2606907853,Helsingør,343484
0607807256,Vordingborg,372813
1810959958,Frederikshavn,310247
3005901920,København,311832
2809694165,Favrskov,584608
0209716316,Vejle,546910
0102623738,Aalborg,651070
0201725715,Skanderborg,463970
2705687265,København,552565
0203936177,Rudersdal,311142
1601980211,Sorø,265747
0707941644,Aarhus,251728
1608846712,Vesthimmerlands,391441
1909883133,Favrskov,361404
2003733477,Fredensborg,525633
0710686967,Aalborg,561045
1601654472,Silkeborg,537560
0410534868,Vesthimmerlands,683197
0506965323,Hjørring,315403
1012522734,Kolding,756271
1011632913,Favrskov,599429
2910965224,Nordfyns,319818
2403629782,Hjørring,544775
0411892596,Skanderborg,351135
1912931104,Ringsted,343480
1409859441,Sønderborg,349404
0608721326,København,573159
2908964863,København,335398
1712794937,Nyborg,424836
1010668910,Odense,554506
1106838356,Vordingborg,363707
