cpr,height,weight,hair_len
2008785731,1.87,91.9,3.3
0702913757,1.78,84,3
1805909234,1.59,60.4,28.9
1712572117,1.83,88.2,3.6
1912757729,1.83,84.6,1.9
3012776200,1.84,71.2,31.1
2802806849,1.71,88.5,4.2
0310907427,1.84,82.2,7.3
0511797694,1.68,72.7,33.3
3008710744,1.6,69.2,35.7
3108850805,1.92,90.1,1.5
2410710681,1.93,85.9,2.3
2003783413,1.89,91.6,7
0410826576,1.53,70.4,35.6
2012817764,1.7,78.4,24.7
2802793673,1.82,84.2,3.6
0306854827,1.88,94.6,3.9
2604731504,1.71,67.6,37.2
1010870767,1.88,87.7,1.3
2402726685,1.71,78.7,1.1
1305799087,1.84,88.8,2
1710825179,1.79,97.7,1.2
0204807360,1.68,73,31.3
2102915953,1.74,83.2,3
3108577618,1.82,79,32.1
0107732481,1.78,79.2,4.8
2112963746,1.64,68.3,31.3
2211814964,1.7,65.7,51
2702548213,1.71,90.2,9.4
2005833440,1.64,69.2,15.2
0302570799,1.98,82.9,4.6
1301755559,1.67,86.5,0.1
0406884994,1.63,77.6,35.6
2008764947,1.82,78.6,5.3
0606708222,1.62,68.2,28.1
1802864468,1.75,75.4,43.2
3112881774,1.64,70.8,36.8
0202802745,1.86,84.2,4.9
2205936798,1.64,68.1,23.1
1608966910,1.58,73.2,41.3
1708753309,1.71,84.9,11.5
3011625391,1.65,87.6,4.9
3112882041,1.78,87.5,4.1
2103730028,1.7,80.7,36
1502692823,1.66,90.7,1.5
0606611278,1.63,65.7,26.3
1510623854,1.74,67.2,37.1
1411938184,1.61,69.4,36.3
0201657286,1.76,66.9,34.2
1312807894,1.58,76.9,33
1512524069,1.93,84.2,7.3
0210996194,1.86,73.5,36.5
0412629468,1.63,67.2,25.7
1008890991,1.8,78.7,6.3
0409679916,1.82,67.3,42.8
0406760649,1.87,82.2,8.1
0410946102,1.7,71.2,40.3
1204893381,1.77,87.7,2.8
1411824429,1.72,92.1,5.9
0509858490,1.68,68.5,35.6
1701897296,1.71,72.3,24.1
1211946424,1.65,68.8,32
1606805388,1.5,80.8,53.1
1709877915,1.91,91.2,4.4
0111925442,1.81,70.6,34
3110790417,1.81,94.7,7.6
0602860339,1.9,94.2,6.1
3003851306,1.76,65.2,43
0711842445,1.86,83.3,7.8
2012631652,1.69,68,35.6
0703592694,1.81,63.7,25.5
2804783017,1.9,78.7,7.9
0506850691,1.84,92.5,5.6
0309736586,1.73,80.1,36
1103664809,1.78,78.4,5.5
1107975737,1.87,80.4,5.4
0901947513,1.86,83.5,4.1
2205758120,1.85,65.8,30.7
2605844060,1.67,62.1,42
0407980841,1.72,93.3,6
2011877154,1.74,77.2,26.4
0403832790,1.67,63.4,37.2
3007903457,1.81,77.1,3.6
2712836558,1.68,74.1,33.1
2104719751,1.82,90.1,4.1
2502847886,1.68,64.8,39.3
1605808941,1.92,81.2,0.6
1811930586,1.69,65.5,28.1
0909971854,1.67,66.3,34.4
1902813120,1.66,72.8,24.1
2810980176,1.72,71.7,41
2604628074,1.72,65.2,38.3
2211945588,1.71,74.1,42.5
0107826283,1.78,84.6,2.8
1204607456,1.58,79.3,17.1
0303819424,1.83,72.9,27
0712513105,1.77,85.6,3.6
1603592875,1.75,88.8,6.8
0704617183,1.9,94.2,7.6
0108901261,1.95,89.1,1.5
2410613383,1.79,98,10.2
1703935957,1.79,91.6,6.3
0101737204,1.61,75.8,22.8
0612906860,1.75,70.7,32.3
1005641196,1.71,73.3,28
2611847474,1.61,75.6,29.8
2808878292,1.62,68,33
1506845516,1.56,60.6,37.8
2812775147,1.73,92.8,0.6
2001579886,1.81,72.3,29
2904685236,1.69,80.6,39.7
2401661096,1.67,62.5,46.6
2806879005,1.87,85.6,10.1
2804741739,1.8,81.3,8.5
1611815811,1.78,86,4.5
2206636659,1.89,83.1,1.1
3009999144,1.65,73.6,36.2
1010875277,1.83,90.9,6.8
2211925404,1.55,68.2,36.1
1503679418,1.63,59.3,28.5
2312733488,1.65,59.8,39.5
2410747378,1.78,67.4,33.1
0311883018,1.63,73.3,32.4
2911664485,1.83,84.3,4.2
0211678285,1.75,80.2,11.7
1505824429,1.58,88.7,4.7
0103668315,1.63,76.7,0.4
1006796055,1.78,87.3,3.1
0509907762,1.63,69.9,33.9
0706813878,1.68,73.2,18.8
2708738028,1.54,73.4,23.7
1811741005,1.95,87.8,0.8
1509782753,1.91,83,11.1
1908962293,1.77,90,6.7
1912979478,1.7,68.8,40.6
0607745306,1.88,71.8,35.1
0701616886,1.65,75.5,35.5
0109828626,1.52,76.5,42.4
0506793923,1.9,86.9,8.4
0912691643,1.9,87,8.8
1004812843,1.85,81.5,7.5
1506944749,1.93,86.1,7
1807711911,1.94,85.9,6.8
1905644853,1.8,88.2,6.1
1702809087,1.93,86,4.8
1610862296,1.59,68.2,39
0603831840,1.74,68.2,30.6
0104780583,1.73,75.4,10.3
1601832592,1.67,70.6,42.6
0906922618,1.5,65.8,37.2
2612719112,1.77,65.2,26.9
0204882715,1.7,88.3,8.1
2011667491,1.83,95.1,2.8
1210609707,1.71,81.1,8.5
0607559137,1.93,74.1,7.4
1307956049,1.71,87.3,5.8
1211964952,1.56,70.1,40.2
2109586669,1.76,81.3,1.2
2401670981,1.84,85,6.4
0709572841,1.74,96.2,5.5
1808791184,1.7,64.7,39.9
2001894256,1.57,68.3,38.1
0409808656,1.7,68.5,48
1107833448,1.7,68.6,35
1806875913,1.73,78.3,6.3
1612775176,1.62,66.7,36.3
2105994211,1.78,94.4,5.5
1609778693,1.9,90.2,9.4
1005681193,1.78,86.6,6.4
1610879561,1.72,87.3,4.4
1306794689,1.88,87.8,11
2807812957,1.87,85.5,2.2
3107899952,1.8,69.7,37.7
0603961091,1.97,88.5,7.6
2509863383,1.98,82.9,7
0203920517,1.75,87.6,2.4
2101955594,1.59,66.6,40.1
1707793516,1.76,69.5,39.7
0301714087,1.69,84.8,8.5
0403818443,1.9,80,5.2
3004845061,1.82,92.5,4.4
2111608433,1.66,84.7,3.5
0903685401,1.9,94.6,10.8
1404991569,1.72,88,8.2
1604723874,1.7,62.1,49.1
0904669532,1.7,76.2,39
2807975285,1.75,93.8,6.8
1301756760,1.64,64.5,29
0307826005,1.86,92,4.2
1303657913,1.88,82.1,0.1
1311685124,1.78,66.2,32.9
3009699791,1.99,80.4,6.8
2204942986,1.86,71.9,36.1
0904856652,1.65,64.3,32.8
1112885842,1.82,68.5,39.6
2007910419,1.83,92.8,8.1
1311757961,1.63,85.1,2.9
2907598493,1.75,93.3,6.8
1209962675,1.8,83.8,4.1
0901926292,1.57,63,33.1
0807941522,1.57,63.4,20.9
0209934683,1.77,90.5,2.1
1209823183,1.82,88.8,2.6
3004854331,1.76,91.3,3.8
0103892765,1.94,87.9,7.6
0611711394,1.86,67.3,32.9
0211893356,1.62,68.8,38.7
2604810782,1.74,75.7,38.2
3009991552,1.52,52.8,42.3
0405685057,1.8,94.5,7.6
2105862888,1.61,75.7,29.6
0411614328,1.6,66.3,42.6
1209638578,1.54,67,35.5
1610798802,1.71,76.2,26.9
0207729061,1.69,90.2,0.5
0909757326,1.64,73.4,41.3
2904837993,1.84,83.3,7.5
2103901836,1.62,82.3,23.2
3008991709,1.77,88.6,5.8
2908644430,1.78,72.1,34.2
0911736902,1.69,69.7,43.6
0509809527,1.91,75.5,2
0110742031,1.93,99.5,2.6
2801943127,1.71,84.7,3.8
3012724888,1.67,71.3,27.5
1103607891,1.71,88.2,7.1
0309918578,1.62,72.8,32.1
2702812797,1.79,85.3,6.5
2608545629,1.66,81.2,6.2
0507573439,1.81,86,5.7
0410843452,1.73,55.4,24.7
0711886199,1.81,88.1,4.7
2302797413,1.74,84.4,1.6
1209671779,1.74,86.4,9.6
0204973780,1.83,65.5,39
2110682123,1.83,99.8,8
2302583158,1.54,69.8,46.7
1106546183,1.94,83.6,7.5
2309872858,1.52,70.1,46
1204725084,1.79,67.3,42
2302614585,1.66,75.9,1.1
1907660915,1.74,89.9,4
0107783044,1.76,67,49.6
0611659376,1.61,71.7,47.4
0307941299,1.87,82.9,6.6
1408944215,1.73,91.1,2.2
2506538933,1.67,81.7,4.4
2612775722,1.69,55.6,50.4
1409611253,1.77,83.1,1.8
2403635649,1.88,90.7,6.7
0301857106,1.67,69.7,31.2
1608976825,1.87,87.7,9.2
2602977395,2.01,82.8,3.4
0108737834,1.93,64,22.3
2009950824,1.64,70,43.2
1811707159,1.65,94.2,6.4
0102654025,1.8,86.3,3.6
1604821118,1.74,78.1,23.7
0508674634,1.67,66.9,19
0203797748,1.83,72.2,23.8
1712739482,1.81,75.7,34.1
1104802616,1.57,77.7,34.9
2801798117,1.81,94.3,6.3
0106983269,1.87,89.1,4.1
2108859544,1.65,63.7,37.5
2610779555,1.8,82.5,1.7
2002627897,1.78,78.9,3.6
2503550673,1.8,85.3,2.5
0510543808,1.76,65.7,33.8
0104879220,1.72,73.2,38.6
0905979614,1.62,74.4,30.5
1408967625,1.85,83.4,6.3
2701645765,1.86,81.7,6.8
0902752743,1.89,82.9,4.7
2208798685,2,84.5,0.2
2805958849,1.8,82.7,8.5
1603903882,1.69,65.3,28
0712953926,1.6,68.3,33.2
1203746711,1.83,88.2,0.6
2109856692,1.65,71,35.5
2903885556,1.71,64.1,37.1
2808552626,1.78,74.9,35.3
2412961387,1.83,86.6,4.9
1505779445,1.89,85.8,8.5
1401932559,1.78,88.5,0.6
1812723847,1.98,81.8,4
1111756645,1.73,87.1,0.2
0209532021,1.95,86.5,2.2
1501731231,1.95,82,0.1
0102915041,1.93,92.2,0.6
2011974274,1.71,71.3,32.1
0605767701,1.88,94.3,7.9
1401976140,1.57,76.3,35.4
0904557033,1.74,85.2,6.3
0312717871,1.75,76,5.1
0911654693,1.81,88.8,3.5
1002782237,1.95,97.8,0.8
1509830242,1.62,70.9,38.3
2401733170,1.71,65.1,27
1912706664,1.64,75.1,28.7
2712769732,1.77,74.2,28.3
0403766510,1.5,78.1,36.3
2801704965,1.68,83.2,1.1
1111791760,1.61,64,20.8
2406956767,1.8,87.1,6.8
0911812550,1.57,74.1,42.8
1602638336,1.6,73.5,41.3
2305768358,1.7,68.8,43.4
1907819923,1.89,82.9,1.8
2612931254,1.53,64.4,39.4
2606970822,1.78,69.4,26.8
2503743633,1.73,81.2,7
0404604691,1.85,86.2,0.6
1806780876,1.69,70.1,26.7
0803846285,1.78,85.1,0.6
0506565815,1.93,76,1.2
0108802860,1.72,68.8,28.9
0306716327,1.79,88.8,5.4
0506529176,1.65,67,39.9
3004571755,1.82,93.3,1.4
2802998444,1.78,72,41.6
0101898075,1.77,85.5,4.9
1706818148,1.73,67.1,33
1604773676,1.91,72.4,30
2511586103,1.9,93.9,4
0206635878,1.52,71.9,37.6
2806981730,1.88,66.8,30.4
3008668606,1.66,66.4,28.3
1504727842,1.75,66,36
2702874385,1.8,82.9,2.1
1111625698,1.58,74.5,32.1
1012836022,1.61,62.2,36.7
0310982149,1.62,92,3.2
1511906142,1.63,63.5,47.8
2001738321,1.93,87.1,7.8
2405791359,1.88,99.4,7
0801876058,1.72,74.3,42.6
2802869336,1.73,72.8,32.1
2211960787,1.86,78.1,4.1
2512981349,1.85,87.3,7.7
2907859326,1.74,61.5,28.9
0308863261,1.73,82.2,11.5
2004984994,1.73,62,35.2
1102938309,1.75,85.1,7.8
2301932125,1.9,83.3,1.8
3004684315,1.78,85.1,12.9
1309920522,1.63,67,44.7
0403878742,1.58,61.7,30.6
2402700676,1.82,65.6,37
0305971619,1.73,88,1.2
2712903832,1.67,60.8,24.5
1712817699,1.8,83.4,6
0212853498,1.51,74.8,50.7
3009624457,1.89,81.1,5.1
0503788954,1.71,73.8,31.9
2704863075,1.84,88.3,7.3
1007971620,1.68,71.4,44
2502952122,1.61,71.8,33.2
2802880125,1.78,89.1,8.3
2312698949,1.81,87.2,4.8
0602876077,1.85,98,3.9
1612682031,1.79,91.5,4.7
2401811219,1.9,88.3,7.4
1604829093,1.76,84.8,5.1
1107974687,1.94,84.7,5.4
1208957904,1.79,64.6,33.4
0812757929,1.92,86.4,9.6
0909995113,1.87,79.5,7.6
2110997785,1.86,79.2,6.3
1001925275,1.84,88.9,6.9
2102821397,1.83,91.5,7.5
1512689247,1.99,80.3,1.5
0508834377,1.89,89.6,0.6
0106781474,1.55,71.7,40.2
2201992788,1.85,68.5,40.4
0910982366,1.7,62.8,35.2
1411800333,1.83,89.2,1.4
2805793594,1.71,67.3,33.2
0208867119,1.74,83.2,4.5
1802656731,1.98,82.2,6
2707658981,1.81,78.9,4.3
1611822379,1.86,82.2,1
0702806517,1.86,81.5,4.3
2708662436,1.64,77.6,38.8
1911812954,1.83,60.4,49.8
1103615626,1.74,73.6,25
1711824327,1.66,85.4,5
2103997231,1.77,87.8,0
1412966959,1.7,85.5,0.4
3101551372,1.92,73,38
2708927591,1.96,85.8,7.8
3010738957,1.77,99.1,9.2
1807702778,1.89,65.3,43.8
2506706478,1.62,70.8,25.3
0610740076,1.57,71.8,30.8
2107820889,1.97,78,4.9
2910881932,1.67,61.3,40.6
1102901123,1.78,84.2,9.3
3011979056,1.61,71.1,36.8
1210668171,1.79,82.9,7.2
2204891079,1.72,84.3,5.2
3006936962,1.71,64.8,44
2105813928,1.7,64.2,45.6
1507755285,1.97,87.7,5.7
2804954570,1.6,73.6,39.3
1105823040,1.57,73.8,20.7
1702952081,1.76,84.1,11.2
0106692676,1.62,80,29.3
1201879763,1.79,84.2,6.1
0601674866,1.64,71.8,33.2
0508542848,1.63,66,27.1
1308831552,1.62,66.3,35.2
2202997897,1.9,78.1,7.3
2702906497,1.73,91.4,0.5
1708741328,1.7,66.8,22.3
1701834656,1.78,73.2,36
3006530082,1.77,59.9,34.7
1408831773,1.75,92.6,10.1
2907934047,1.79,91.8,10.9
0310546582,1.72,67.1,38.5
0711566114,1.64,62.1,26.3
1107737156,1.71,68.7,37.7
2407825514,1.54,71.5,42.3
1608900874,1.76,67.9,42.6
0611919614,1.59,69,40.8
2410651368,1.7,74.1,38.1
1812615535,1.99,94.4,8.6
1601803755,1.95,84.7,9.7
1808889148,1.71,66.9,31.3
1805607809,1.8,86.5,5.4
2901825905,1.86,95.9,2.4
1904789876,1.68,61.9,28.1
1808531556,1.69,61.6,44.6
0206846816,1.79,66.6,40.6
0309805725,1.86,89.2,7.4
2904704701,1.73,78.1,2.4
0201791110,1.77,59.7,42.3
1906798377,1.82,87.1,3.6
2004835873,1.79,92.3,4.5
1905876311,1.73,96.9,9.3
0204813737,1.75,76.6,3.1
2903628707,1.8,86.6,2.6
2405622460,1.64,66.4,36.5
2201917254,1.74,75.6,39.5
1210983822,1.76,67.9,34.2
1503603585,1.76,87.4,3.8
1107903415,1.77,83.7,5.7
1111784948,1.73,71.2,18.8
1903698653,1.65,89.2,4.7
1902978015,1.78,85.7,8.3
0206992448,1.56,64.2,26.4
1206618021,1.7,81.9,1.5
0309919801,1.74,90.7,8
2712768955,1.91,89.2,2.4
0907963514,1.58,69,26.5
1805819839,1.8,93.6,5.5
2005853396,1.71,53.5,22.8
2504857528,1.67,65.9,30.5
1712777368,1.79,72.1,23.8
1908610558,1.82,73.9,26.6
2610713732,1.58,69.5,34.8
1204705779,1.76,88.5,3.4
2812533388,1.72,72,32.8
0301550741,1.88,83,9.2
0604887033,1.74,87.2,2.7
0611642330,1.57,65.3,40.3
2008667731,1.83,81.5,5.7
2410863973,1.99,89.1,0.1
2205730871,1.73,82.5,2.7
1711632892,1.74,73.9,45
0403823613,1.85,86.2,1.2
2712796941,1.95,89.3,5.9
2505797333,1.72,82.3,10.8
0302611893,1.67,87.9,6.2
0801916839,1.79,86.8,3.3
1308845534,1.53,58.4,34.4
2806831036,1.52,70.1,28.9
0202595829,1.76,82.8,5.7
2606894488,1.68,61.8,29.1
0103830987,1.78,80.1,5.9
1809897073,1.83,82,4.9
0209701776,1.68,72.8,42.2
0308721459,1.9,92.1,7.6
2311884579,1.9,91,4.6
0801883470,1.62,75.5,33.5
0206847933,1.68,81.1,7.8
2809575547,1.86,85.1,6
0204594231,1.75,80.9,5.3
1310734203,1.57,88.1,5.7
1402915530,1.61,58.5,35.8
1506570371,1.86,88.6,6.7
0701580071,1.91,93,9.2
2107897211,1.94,82.3,9
1312950528,1.56,75.8,43.6
2301803373,1.77,88.5,5.9
0509601962,1.51,69.8,27.4
1604635275,1.84,89.3,5.4
2701799289,1.92,87.3,1.9
0903822085,1.85,82,5
1808651672,1.61,61.5,42.4
1910675055,1.85,91.5,6
2007635378,1.73,67.4,34.9
2906734543,1.71,78.1,3.5
1207629139,1.67,76.4,4.2
2707936375,1.86,87.2,2
2506947155,1.9,88.4,7.1
0708955050,1.53,65.1,38.1
2305874899,1.84,76.7,3.2
0308861745,1.89,80.3,7.5
1207643773,1.93,86.6,0.1
1903796782,1.92,61.6,27.2
1110971564,1.62,76.5,39.2
1104830252,1.57,69.1,29
2301750101,1.84,85.3,5.1
2510849526,1.86,61.6,31
2911766759,1.88,90.2,7.4
1209844043,1.81,81,8.6
0203988010,1.6,74.7,37.6
2712783751,1.94,88.5,5.3
1005698574,1.53,68,39.3
0110965096,1.51,70.9,44.4
2605725188,1.74,71.8,35.6
2112794504,1.73,74.1,31.8
0705766655,1.77,92.3,0.8
1209952606,1.61,57.7,30.2
2709754812,1.58,64.3,38.8
0509881116,1.88,65.9,27.2
0601934671,1.84,89.5,0.8
1802712916,1.86,65.9,41.3
2403500566,1.69,73.7,29.4
1904962478,1.75,71.9,31.3
0308650797,1.8,92.8,7.4
2702831133,1.84,85.7,5
1312851686,1.65,66.2,46.5
1505748683,1.65,93.2,6.6
3107856835,1.93,94,4
2402689844,1.6,69.8,27.4
1708838199,1.84,97.3,4.6
2706551111,1.86,85.9,5.9
2307514821,1.67,85.8,5.8
0509906811,1.94,90.3,4.6
3009702758,1.75,77,40.4
2912823296,1.86,68.8,26.5
1107825411,1.91,91.9,9.9
0201766543,1.72,86.9,4.4
0809832562,1.61,73.2,35.6
2708735163,1.74,93,1
2604820681,1.74,84.5,6.6
1803939712,1.69,73.4,29
1407621116,1.62,72.1,41.5
2809896302,1.63,70.8,22.3
1402731556,1.66,63.2,41.1
3103534820,1.8,77.5,30.8
3101838029,1.79,84.8,0.6
